,life_stage_group,carbohydrate,total_fiber,fat,linoleic_acid,protein,life_stage
1, 0–6 mo,60,ND,31,4.4,9.1,Infants
2, 6–12 mo,95,ND,30,4.6,11.0,Infants
4, 1–3 y,130,19,"ND,c",7,13,Children
5, 4–8 y,130,25,ND,10,19,Children
7, 9–13 y,130,31,ND,12,34,Males
8, 14–18 y,130,38,ND,16,52,Males
9, 19–30 y,130,38,ND,17,56,Males
10, 31–50 y,130,38,ND,17,56,Males
11, 51–70 y,130,30,ND,14,56,Males
12, > 70 y,130,30,ND,14,56,Males
14, 9–13 y,130,26,ND,10,34,Females
15, 14–18 y,130,26,ND,11,46,Females
16, 19–30 y,130,25,ND,12,46,Females
17, 31–50 y,130,25,ND,12,46,Females
18, 51–70 y,130,21,ND,11,46,Females
19, > 70 y,130,21,ND,11,46,Females
21, 14–18 y,175,28,ND,13,71,Pregnancy
22, 19–30 y,175,28,ND,13,71,Pregnancy
23, 31–50 y,175,28,ND,13,71,Pregnancy
25, 14–18,210,29,ND,13,71,Lactation
26, 19–30 y,210,29,ND,13,71,Lactation
27, 31–50 y,210,29,ND,13,71,Lactation
