,life_stage_group,vitamin_a_ug,vitamin_a,vitamin_c,vitamin_d_ug,vitamin_d,vitamin_e,vitamin_k_ug,vitamin_k,vitamin_b_6,vitamin_b_12_ug,vitamin_b_12,life_stage
1, 0–6 mo,400,0.4,40,10,0.01,4,2,0.002,0.1,0.4,0.0004,Infants
2, 6–12 mo,500,0.5,50,10,0.01,5,2.5,0.0025,0.3,0.5,0.0005,Infants
4, 1–3 y,300,0.3,15,15,0.015,6,30,0.03,0.5,0.9,0.0009,Children
5, 4–8 y,400,0.4,25,15,0.015,7,55,0.055,0.6,1.2,0.0012,Children
7, 9–13 y,600,0.6,45,15,0.015,11,60,0.06,1,1.8,0.0018,Males
8, 14–18 y,900,0.9,75,15,0.015,15,75,0.075,1.3,2.4,0.0024,Males
9, 19–30 y,900,0.9,90,15,0.015,15,120,0.12,1.3,2.4,0.0024,Males
10, 31–50 y,900,0.9,90,15,0.015,15,120,0.12,1.3,2.4,0.0024,Males
11, 51–70 y,900,0.9,90,15,0.015,15,120,0.12,1.7,2.4,0.0024,Males
12, > 70 y,900,0.9,90,20,0.02,15,120,0.12,1.7,2.4,0.0024,Males
14, 9–13 y,600,0.6,45,15,0.015,11,60,0.06,1,1.8,0.0018,Females
15, 14–18 y,700,0.7,65,15,0.015,15,75,0.075,1.2,2.4,0.0024,Females
16, 19–30 y,700,0.7,75,15,0.015,15,90,0.09,1.3,2.4,0.0024,Females
17, 31–50 y,700,0.7,75,15,0.015,15,90,0.09,1.3,2.4,0.0024,Females
18, 51–70 y,700,0.7,75,15,0.015,15,90,0.09,1.5,2.4,0.0024,Females
19, > 70 y,700,0.7,75,20,0.02,15,90,0.09,1.5,2.4,0.0024,Females
21, 14–18 y,750,0.75,80,15,0.015,15,75,0.075,1.9,2.6,0.0026,Pregnancy
22, 19–30 y,770,0.77,85,15,0.015,15,90,0.09,1.9,2.6,0.0026,Pregnancy
23, 31–50 y,770,0.77,85,15,0.015,15,90,0.09,1.9,2.6,0.0026,Pregnancy
25, 14–18 y,"1,200",1.2,115,15,0.015,19,75,0.075,2,2.8,0.0028,Lactation
26, 19–30 y,"1,300",1.3,120,15,0.015,19,90,0.09,2,2.8,0.0028,Lactation
27, 31–50 y,"1,300",1.3,120,15,0.015,19,90,0.09,2,2.8,0.0028,Lactation
